,create_time,distance,time_offset,custom,count,end_time,speed,deviceuuid,start_time,pkg_name,update_time,datauuid,calorie,sample_position_type
749,2019-04-08 16:15:01.595,6.2,UTC-0300,,7,2019-04-08 16:11:00.000,1.5833334,jQfnryI8/B,2019-04-08 16:10:00.000,com.sec.android.app.shealth,2019-04-08 16:15:01.595,3a98dbb6-50b5-4379-96ff-38fb9b46f848,0.31,
750,2019-04-07 19:08:38.212,73.38000500000001,UTC-0300,,99,2019-04-07 19:09:00.000,1.3315771,jQfnryI8/B,2019-04-07 19:08:00.000,com.sec.android.app.shealth,2019-04-07 19:09:14.172,3d5fdbaf-5172-4fe3-aba0-919e625181f2,4.63,
751,2019-04-07 22:07:15.205,43.99,UTC-0300,,52,2019-04-07 22:05:00.000,2.0555556,jQfnryI8/B,2019-04-07 22:04:00.000,com.sec.android.app.shealth,2019-04-07 22:07:15.205,ec424f75-564f-4476-979b-818fab6c5af6,2.52,
752,2019-04-08 12:12:10.173,77.270004,UTC-0300,,101,2019-04-08 12:13:00.000,1.2972071000000003,jQfnryI8/B,2019-04-08 12:12:00.000,com.sec.android.app.shealth,2019-04-08 12:13:50.321,e80c54f9-cd77-4ba6-9bc7-58e231d95f45,4.0399995,
753,2019-04-07 19:07:10.328,52.81,UTC-0300,,82,2019-04-07 18:58:59.999,1.0277778,F/D7+hL5E5,2019-04-07 18:58:00.000,com.sec.android.app.shealth,2019-04-07 19:07:10.329,cfcf4b1f-1fec-d8e1-c043-940546d4efee,3.26,230002.0
754,2019-04-07 19:47:04.258,50.12,UTC-0300,,95,2019-04-07 19:38:59.999,0.8055555999999999,F/D7+hL5E5,2019-04-07 19:38:00.000,com.sec.android.app.shealth,2019-04-07 19:47:04.258,de2ad51b-c441-932c-fae2-d92c8e063be8,3.17,230002.0
755,2019-04-07 19:47:04.262,40.78,UTC-0300,,64,2019-04-07 19:40:59.999,1.0833334,F/D7+hL5E5,2019-04-07 19:40:00.000,com.sec.android.app.shealth,2019-04-07 19:47:04.262,73b6d234-f091-91f3-3f27-a9edbf31fff2,2.58,230002.0
756,2019-04-08 12:13:50.278,49.23,UTC-0300,,84,2019-04-08 12:04:59.999,0.9722221999999999,F/D7+hL5E5,2019-04-08 12:04:00.000,com.sec.android.app.shealth,2019-04-08 12:13:50.278,b2e1013c-9c9f-b5a9-8a8f-bc79fc2650b2,3.43,230002.0
757,2019-04-07 19:07:10.321,23.22,UTC-0300,,29,2019-04-07 18:55:59.999,1.5555556000000001,F/D7+hL5E5,2019-04-07 18:55:00.000,com.sec.android.app.shealth,2019-04-07 19:07:10.322,884560e5-0f19-2c6c-c2d4-52a32d68ea11,1.22,230002.0
758,2019-04-08 00:18:00.130,35.959,UTC-0300,,47,2019-04-08 00:18:59.999,1.5328501,F/D7+hL5E5,2019-04-08 00:18:00.000,com.sec.android.app.shealth,2019-04-08 00:19:17.545,d2144160-3e03-f4e2-d055-15137f3149f5,1.9,230002.0
